cidr,sblid,rir,type,timestamp,size,records,copyright,terms
93.123.109.0/24,SBL677469,ripencc,,,,,,
93.152.219.0/24,SBL681135,ripencc,,,,,,
94.26.38.0/24,SBL683769,ripencc,,,,,,
94.26.88.0/24,SBL682629,ripencc,,,,,,
94.26.90.0/24,SBL676377,ripencc,,,,,,
94.26.105.0/24,SBL682630,ripencc,,,,,,
94.74.152.0/22,SBL688886,ripencc,,,,,,
94.74.157.0/24,SBL688881,ripencc,,,,,,
94.74.164.0/24,SBL656295,ripencc,,,,,,
94.74.182.0/24,SBL656289,ripencc,,,,,,
94.74.191.0/24,SBL656296,ripencc,,,,,,
94.103.188.0/24,SBL681306,ripencc,,,,,,
94.154.35.0/24,SBL692132,ripencc,,,,,,
95.161.128.0/24,SBL562112,ripencc,,,,,,
95.161.128.0/23,SBL579025,ripencc,,,,,,
95.164.131.0/24,SBL681903,ripencc,,,,,,
95.164.162.0/24,SBL687788,ripencc,,,,,,
95.169.180.0/24,SBL692156,ripencc,,,,,,
95.213.154.0/24,SBL688759,ripencc,,,,,,
95.213.159.0/24,SBL682828,ripencc,,,,,,
96.31.94.0/24,SBL679448,arin,,,,,,
98.98.195.0/24,SBL656003,arin,,,,,,
101.99.92.0/24,SBL630248,apnic,,,,,,
101.99.95.0/24,SBL629939,apnic,,,,,,
101.134.0.0/15,SBL434605,apnic,,,,,,
101.203.128.0/19,SBL257142,apnic,,,,,,
102.135.91.0/24,SBL688345,afrinic,,,,,,
102.211.56.0/22,SBL638491,afrinic,,,,,,
102.216.254.0/23,SBL682613,afrinic,,,,,,
102.220.112.0/22,SBL680504,afrinic,,,,,,
102.240.1.0/24,SBL689137,afrinic,,,,,,
103.1.43.0/24,SBL654731,apnic,,,,,,
103.3.212.0/22,SBL638808,apnic,,,,,,
103.4.32.0/22,SBL441798,apnic,,,,,,
103.5.116.0/22,SBL137266,apnic,,,,,,
103.6.36.0/22,SBL675009,apnic,,,,,,
103.7.198.0/23,SBL213945,apnic,,,,,,
103.12.220.0/22,SBL657661,apnic,,,,,,
103.13.140.0/22,SBL175620,apnic,,,,,,
103.19.116.0/22,SBL183284,apnic,,,,,,
103.19.188.0/22,SBL654997,apnic,,,,,,
103.20.72.0/22,SBL175926,apnic,,,,,,
103.20.156.0/22,SBL480920,apnic,,,,,,
103.23.12.0/22,SBL339751,apnic,,,,,,
103.25.88.0/22,SBL213941,apnic,,,,,,
103.29.120.0/22,SBL641023,apnic,,,,,,
103.30.12.0/22,SBL295418,ripencc,,,,,,
103.32.0.0/16,SBL434611,apnic,,,,,,
103.32.132.0/22,SBL389071,apnic,,,,,,
103.34.0.0/16,SBL434612,apnic,,,,,,
103.36.64.0/22,SBL247953,apnic,,,,,,
103.37.118.0/24,SBL653998,apnic,,,,,,
103.43.140.0/22,SBL258609,apnic,,,,,,
103.44.208.0/22,SBL395335,apnic,,,,,,
103.48.36.0/22,SBL272678,apnic,,,,,,
103.52.48.0/22,SBL626778,apnic,,,,,,
103.54.164.0/22,SBL679562,apnic,,,,,,
103.55.84.0/22,SBL626779,apnic,,,,,,
103.56.144.0/22,SBL641024,apnic,,,,,,
103.58.68.0/22,SBL275172,apnic,,,,,,
103.70.114.0/23,SBL682880,apnic,,,,,,
103.72.200.0/24,SBL655357,apnic,,,,,,
103.80.132.0/22,SBL519241,apnic,,,,,,
103.81.44.0/22,SBL618908,apnic,,,,,,
103.83.86.0/23,SBL676886,ripencc,,,,,,
103.84.170.0/23,SBL680500,apnic,,,,,,
103.84.196.0/23,SBL680501,apnic,,,,,,
103.93.76.0/24,SBL690849,apnic,,,,,,
103.93.77.0/24,SBL690848,apnic,,,,,,
103.93.78.0/24,SBL690847,apnic,,,,,,
103.93.79.0/24,SBL690846,apnic,,,,,,
103.95.180.0/22,SBL395338,apnic,,,,,,
103.97.2.0/24,SBL656015,apnic,,,,,,
103.102.236.0/22,SBL399514,apnic,,,,,,
103.104.0.0/21,SBL381634,apnic,,,,,,
103.105.240.0/22,SBL664307,apnic,,,,,,
103.107.20.0/22,SBL588964,apnic,,,,,,
103.109.107.0/24,SBL618902,apnic,,,,,,
103.110.104.0/22,SBL647022,apnic,,,,,,
103.113.144.0/22,SBL673923,apnic,,,,,,
103.116.44.0/24,SBL656016,apnic,,,,,,
103.130.147.0/24,SBL639193,ripencc,,,,,,
103.133.136.0/23,SBL683219,apnic,,,,,,
103.135.207.0/24,SBL669237,apnic,,,,,,
103.146.208.0/23,SBL648396,apnic,,,,,,
103.148.42.0/24,SBL537291,apnic,,,,,,
103.155.236.0/24,SBL655366,apnic,,,,,,
103.157.75.0/24,SBL620261,apnic,,,,,,
103.171.236.0/23,SBL626777,apnic,,,,,,
103.173.40.0/24,SBL652521,apnic,,,,,,
103.174.130.0/23,SBL637444,apnic,,,,,,
103.175.229.0/24,SBL637334,apnic,,,,,,
103.177.228.0/23,SBL629006,apnic,,,,,,
103.177.238.0/23,SBL681777,apnic,,,,,,
103.179.148.0/24,SBL639191,apnic,,,,,,
103.180.180.0/23,SBL654624,apnic,,,,,,
103.184.162.0/23,SBL692325,apnic,,,,,,
103.185.134.0/23,SBL692154,apnic,,,,,,
103.185.162.0/24,SBL683028,apnic,,,,,,
103.192.228.0/22,SBL310419,apnic,,,,,,
103.193.184.0/22,SBL650046,apnic,,,,,,
103.195.144.0/22,SBL387220,ripencc,,,,,,
103.198.36.0/22,SBL293924,apnic,,,,,,
103.214.56.0/22,SBL448866,apnic,,,,,,
103.215.80.0/22,SBL675896,apnic,,,,,,
103.225.68.0/24,SBL690845,apnic,,,,,,
103.225.69.0/24,SBL690844,apnic,,,,,,
103.228.60.0/22,SBL261012,apnic,,,,,,
103.228.196.0/22,SBL259697,apnic,,,,,,
103.229.124.0/22,SBL675895,apnic,,,,,,
103.230.24.0/22,SBL246664,apnic,,,,,,
103.232.36.0/22,SBL643367,apnic,,,,,,
103.232.200.0/22,SBL230279,apnic,,,,,,
103.236.32.0/22,SBL270821,apnic,,,,,,
103.237.86.0/23,SBL655827,apnic,,,,,,
103.240.252.0/22,SBL213844,apnic,,,,,,
